2019-05-09 02:29:59.618 EEST [10212] РћРЁРР‘РљРђ:  РѕС‚РЅРѕС€РµРЅРёРµ "dbo.__MigrationHistory" РЅРµ СЃСѓС‰РµСЃС‚РІСѓРµС‚ (СЃРёРјРІРѕР» 82)
2019-05-09 02:29:59.618 EEST [10212] РћРџР•Р РђРўРћР :  SELECT "GroupBy1"."A1" AS "C1" FROM (SELECT CAST (count(1) AS int4) AS "A1" FROM "dbo"."__MigrationHistory" AS "Extent1") AS "GroupBy1"
2019-05-09 03:41:34.938 EEST [3684] РћРЁРР‘РљРђ:  РѕС‚РЅРѕС€РµРЅРёРµ "dbo.__MigrationHistory" РЅРµ СЃСѓС‰РµСЃС‚РІСѓРµС‚ (СЃРёРјРІРѕР» 82)
2019-05-09 03:41:34.938 EEST [3684] РћРџР•Р РђРўРћР :  SELECT "GroupBy1"."A1" AS "C1" FROM (SELECT CAST (count(1) AS int4) AS "A1" FROM "dbo"."__MigrationHistory" AS "Extent1") AS "GroupBy1"
2019-05-09 04:08:56.683 EEST [3592] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2019-05-09 04:08:56.683 EEST [9448] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2019-05-09 04:09:14.994 EEST [3688] СООБЩЕНИЕ:  получен запрос на быстрое выключение
2019-05-09 04:09:15.185 EEST [4812] ОШИБКА:  выполнение оператора отменено по запросу пользователя
2019-05-09 04:09:15.352 EEST [3688] СООБЩЕНИЕ:  прерывание всех активных транзакций
2019-05-09 04:09:15.399 EEST [3688] СООБЩЕНИЕ:  фоновый процесс "logical replication launcher" (PID 4812) завершился с кодом выхода 1
2019-05-09 04:09:15.401 EEST [4768] СООБЩЕНИЕ:  выключение
2019-05-09 04:09:21.927 EEST [3688] СООБЩЕНИЕ:  система БД выключена
